County,Census,Estimates Base,Today,,,,,
Swisher,"7,854","7,859",7397,,,".Swisher County, Texas",,,
Tarrant,"1,809,034","1,810,664",2102515,,,".Tarrant County, Texas",,,
Taylor,"131,506","131,515",138034,,,".Taylor County, Texas",,,
Terrell,984,984,776,,,".Terrell County, Texas",,,
Terry,"12,651","12,651",12337,,,".Terry County, Texas",,,
Throckmorton,"1,641","1,641",1501,,,".Throckmorton County, Texas",,,
Titus,"32,334","32,334",32750,,,".Titus County, Texas",,,
Tom Green,"110,224","110,228",119200,,,".Tom Green County, Texas",,,
Travis,"1,024,266","1,024,444",1273954,,,".Travis County, Texas",,,
Trinity,"14,585","14,675",14651,,,".Trinity County, Texas",,,
Tyler,"21,766","21,760",21672,,,".Tyler County, Texas",,,
Upshur,"39,309","39,311",41753,,,".Upshur County, Texas",,,
Upton,"3,355","3,349",3657,,,".Upton County, Texas",,,
Uvalde,"26,405","26,405",26741,,,".Uvalde County, Texas",,,
Val Verde,"48,879","48,879",49025,,,".Val Verde County, Texas",,,
Van Zandt,"52,579","52,552",56590,,,".Van Zandt County, Texas",,,
Victoria,"86,793","86,793",92084,,,".Victoria County, Texas",,,
Walker,"67,861","67,860",72971,,,".Walker County, Texas",,,
Waller,"43,205","43,274",55246,,,".Waller County, Texas",,,
Ward,"10,658","10,658",11998,,,".Ward County, Texas",,,
Washington,"33,718","33,699",35882,,,".Washington County, Texas",,,
Webb,"250,304","250,304",276652,,,".Webb County, Texas",,,
Wharton,"41,280","41,280",41556,,,".Wharton County, Texas",,,
Wheeler,"5,410","5,406",5056,,,".Wheeler County, Texas",,,
Wichita,"131,500","131,659",132230,,,".Wichita County, Texas",,,
Wilbarger,"13,535","13,535",12769,,,".Wilbarger County, Texas",,,
Willacy,"22,134","22,136",21358,,,".Willacy County, Texas",,,
Williamson,"422,679","422,504",590551,,,".Williamson County, Texas",,,
Wilson,"42,918","42,905",51070,,,".Wilson County, Texas",,,
Winkler,"7,110","7,110",8010,,,".Winkler County, Texas",,,
Wise,"59,127","59,115",69984,,,".Wise County, Texas",,,
Wood,"41,964","41,959",45539,,,".Wood County, Texas",,,
Yoakum,"7,879","7,879",8713,,,".Yoakum County, Texas",,,
Young,"18,550","18,550",18010,,,".Young County, Texas",,,
Zapata,"14,018","14,018",14179,,,".Zapata County, Texas",,,
Zavala,"11,677","11,677",11840,,,".Zavala County, Texas",,,
Beaver,"6,629","6,629",6710,,,".Beaver County, Utah",,,
Box Elder,"49,975","49,983",56046,,,".Box Elder County, Utah",,,
Cache,"112,656","112,656",128289,,,".Cache County, Utah",,,
Carbon,"21,403","21,403",20463,,,".Carbon County, Utah",,,
Daggett,"1,059","1,061",950,,,".Daggett County, Utah",,,
Davis,"306,479","306,492",355481,,,".Davis County, Utah",,,
Duchesne,"18,607","18,605",19938,,,".Duchesne County, Utah",,,
Emery,"10,976","10,976",10012,,,".Emery County, Utah",,,
Garfield,"5,172","5,172",5051,,,".Garfield County, Utah",,,
Grand,"9,225","9,224",9754,,,".Grand County, Utah",,,
Iron,"46,163","46,163",54839,,,".Iron County, Utah",,,
Juab,"10,246","10,246",12017,,,".Juab County, Utah",,,
Kane,"7,125","7,125",7886,,,".Kane County, Utah",,,
Millard,"12,503","12,503",13188,,,".Millard County, Utah",,,
Morgan,"9,469","9,469",12124,,,".Morgan County, Utah",,,
Piute,"1,556","1,557",1479,,,".Piute County, Utah",,,
Rich,"2,264","2,264",2483,,,".Rich County, Utah",,,
Salt Lake,"1,029,655","1,029,590",1160437,,,".Salt Lake County, Utah",,,
San Juan,"14,746","14,745",15308,,,".San Juan County, Utah",,,
Sanpete,"27,822","27,822",30939,,,".Sanpete County, Utah",,,
Sevier,"20,802","20,801",21620,,,".Sevier County, Utah",,,
Summit,"36,324","36,324",42145,,,".Summit County, Utah",,,
Tooele,"58,218","58,218",72259,,,".Tooele County, Utah",,,
Uintah,"32,588","32,588",35734,,,".Uintah County, Utah",,,
Utah,"516,564","516,639",636235,,,".Utah County, Utah",,,
Wasatch,"23,530","23,525",34091,,,".Wasatch County, Utah",,,
Washington,"138,115","138,115",177556,,,".Washington County, Utah",,,
Wayne,"2,778","2,778",2711,,,".Wayne County, Utah",,,
Weber,"231,236","231,218",260213,,,".Weber County, Utah",,,
Addison,"36,821","36,818",36777,,,".Addison County, Vermont",,,
Bennington,"37,125","37,119",35470,,,".Bennington County, Vermont",,,
Caledonia,"31,227","31,234",29993,,,".Caledonia County, Vermont",,,
Chittenden,"156,545","156,535",163774,,,".Chittenden County, Vermont",,,
Essex,"6,306","6,306",6163,,,".Essex County, Vermont",,,
Franklin,"47,746","47,759",49402,,,".Franklin County, Vermont",,,
Grand Isle,"6,970","6,970",7235,,,".Grand Isle County, Vermont",,,
Lamoille,"24,475","24,473",25362,,,".Lamoille County, Vermont",,,
Orange,"28,936","28,936",28892,,,".Orange County, Vermont",,,
Orleans,"27,231","27,234",27037,,,".Orleans County, Vermont",,,
Rutland,"61,642","61,660",58191,,,".Rutland County, Vermont",,,
Washington,"59,534","59,524",58409,,,".Washington County, Vermont",,,
Windham,"44,513","44,511",42222,,,".Windham County, Vermont",,,
Windsor,"56,670","56,658",55062,,,".Windsor County, Vermont",,,
Accomack,"33,164","33,162",32316,,,".Accomack County, Virginia",,,
Albemarle,"98,970","98,998",109330,,,".Albemarle County, Virginia",,,
Alleghany,"16,250","16,264",14860,,,".Alleghany County, Virginia",,,
Amelia,"12,690","12,695",13145,,,".Amelia County, Virginia",,,
Amherst,"32,353","32,354",31605,,,".Amherst County, Virginia",,,
Appomattox,"14,973","15,028",15911,,,".Appomattox County, Virginia",,,
Arlington,"207,627","207,696",236842,,,".Arlington County, Virginia",,,
Augusta,"73,750","73,753",75558,,,".Augusta County, Virginia",,,
Bath,"4,731","4,727",4147,,,".Bath County, Virginia",,,
Bedford,"68,676","74,929",78997,,,".Bedford County, Virginia",,,
Bland,"6,824","6,824",6280,,,".Bland County, Virginia",,,
Botetourt,"33,148","33,152",33419,,,".Botetourt County, Virginia",,,
Brunswick,"17,434","17,426",16231,,,".Brunswick County, Virginia",,,
Buchanan,"24,098","24,102",21004,,,".Buchanan County, Virginia",,,
Buckingham,"17,146","17,140",17148,,,".Buckingham County, Virginia",,,
Campbell,"54,842","54,809",54885,,,".Campbell County, Virginia",,,
Caroline,"28,545","28,554",30725,,,".Caroline County, Virginia",,,
Carroll,"30,042","30,072",29791,,,".Carroll County, Virginia",,,
Charles City,"7,256","7,256",6963,,,".Charles City County, Virginia",,,
Charlotte,"12,586","12,597",11880,,,".Charlotte County, Virginia",,,
Chesterfield,"316,236","316,240",352802,,,".Chesterfield County, Virginia",,,
Clarke,"14,034","14,025",14619,,,".Clarke County, Virginia",,,
Craig,"5,190","5,175",5131,,,".Craig County, Virginia",,,
Culpeper,"46,689","46,688",52605,,,".Culpeper County, Virginia",,,
Cumberland,"10,052","10,039",9932,,,".Cumberland County, Virginia",,,
Dickenson,"15,903","15,877",14318,,,".Dickenson County, Virginia",,,
Dinwiddie,"28,001","28,012",28544,,,".Dinwiddie County, Virginia",,,
Essex,"11,151","11,149",10953,,,".Essex County, Virginia",,,
Fairfax,"1,081,726","1,081,703",1147532,,,".Fairfax County, Virginia",,,
Fauquier,"65,203","65,228",71222,,,".Fauquier County, Virginia",,,
Floyd,"15,279","15,291",15749,,,".Floyd County, Virginia",,,
Fluvanna,"25,691","25,742",27270,,,".Fluvanna County, Virginia",,,
Franklin,"56,159","56,128",56042,,,".Franklin County, Virginia",,,
Frederick,"78,305","78,269",89313,,,".Frederick County, Virginia",,,
Giles,"17,286","17,286",16720,,,".Giles County, Virginia",,,
Gloucester,"36,858","36,859",37348,,,".Gloucester County, Virginia",,,
Goochland,"21,717","21,692",23753,,,".Goochland County, Virginia",,,
Grayson,"15,533","15,554",15550,,,".Grayson County, Virginia",,,
Greene,"18,403","18,389",19819,,,".Greene County, Virginia",,,
Greensville,"12,243","12,245",11336,,,".Greensville County, Virginia",,,
Halifax,"36,241","36,253",33911,,,".Halifax County, Virginia",,,
Hanover,"99,863","99,850",107766,,,".Hanover County, Virginia",,,
Henrico,"306,935","306,756",330818,,,".Henrico County, Virginia",,,
Henry,"54,151","54,182",50557,,,".Henry County, Virginia",,,
Highland,"2,321","2,319",2190,,,".Highland County, Virginia",,,
Isle of Wight,"35,270","35,277",37109,,,".Isle of Wight County, Virginia",,,
James City,"67,009","67,379",76523,,,".James City County, Virginia",,,
King and Queen,"6,945","6,940",7025,,,".King and Queen County, Virginia",,,
King George,"23,584","23,578",26836,,,".King George County, Virginia",,,
King William,"15,935","15,927",17148,,,".King William County, Virginia",,,
Lancaster,"11,391","11,390",10603,,,".Lancaster County, Virginia",,,
Lee,"25,587","25,589",23423,,,".Lee County, Virginia",,,
Loudoun,"312,311","312,348",413538,,,".Loudoun County, Virginia",,,
Louisa,"33,153","33,168",37591,,,".Louisa County, Virginia",,,
Lunenburg,"12,914","12,916",12196,,,".Lunenburg County, Virginia",,,
Madison,"13,308","13,306",13261,,,".Madison County, Virginia",,,
Mathews,"8,978","8,976",8834,,,".Mathews County, Virginia",,,
Mecklenburg,"32,727","32,716",30587,,,".Mecklenburg County, Virginia",,,
Middlesex,"10,959","10,959",10582,,,".Middlesex County, Virginia",,,
Montgomery,"94,392","94,422",98535,,,".Montgomery County, Virginia",,,
Nelson,"15,020","15,015",14930,,,".Nelson County, Virginia",,,
New Kent,"18,429","18,432",23091,,,".New Kent County, Virginia",,,
Northampton,"12,389","12,391",11710,,,".Northampton County, Virginia",,,
Northumberland,"12,330","12,331",12095,,,".Northumberland County, Virginia",,,
Nottoway,"15,853","15,853",15232,,,".Nottoway County, Virginia",,,
Orange,"33,481","33,554",37051,,,".Orange County, Virginia",,,
Page,"24,042","24,051",23902,,,".Page County, Virginia",,,
Patrick,"18,490","18,500",17608,,,".Patrick County, Virginia",,,
Pittsylvania,"63,506","63,469",60354,,,".Pittsylvania County, Virginia",,,
Powhatan,"28,046","28,069",29652,,,".Powhatan County, Virginia",,,
Prince Edward,"23,368","23,363",22802,,,".Prince Edward County, Virginia",,,
Prince George,"35,725","35,715",38353,,,".Prince George County, Virginia",,,
Prince William,"402,002","402,009",470335,,,".Prince William County, Virginia",,,
Pulaski,"34,872","34,857",34027,,,".Pulaski County, Virginia",,,
Rappahannock,"7,373","7,506",7370,,,".Rappahannock County, Virginia",,,
Richmond,"9,254","9,254",9023,,,".Richmond County, Virginia",,,
Roanoke,"92,376","92,465",94186,,,".Roanoke County, Virginia",,,
Rockbridge,"22,307","22,355",22573,,,".Rockbridge County, Virginia",,,
Rockingham,"76,314","76,321",81948,,,".Rockingham County, Virginia",,,
Russell,"28,897","28,923",26586,,,".Russell County, Virginia",,,
Scott,"23,177","23,168",21566,,,".Scott County, Virginia",,,
Shenandoah,"41,993","41,996",43616,,,".Shenandoah County, Virginia",,,
Smyth,"32,208","32,213",30104,,,".Smyth County, Virginia",,,
Southampton,"18,570","18,573",17631,,,".Southampton County, Virginia",,,
Spotsylvania,"122,397","122,453",136215,,,".Spotsylvania County, Virginia",,,
Stafford,"128,961","128,984",152882,,,".Stafford County, Virginia",,,
Surry,"7,058","7,064",6422,,,".Surry County, Virginia",,,
Sussex,"12,087","12,070",11159,,,".Sussex County, Virginia",,,
Tazewell,"45,078","45,058",40595,,,".Tazewell County, Virginia",,,
Warren,"37,575","37,450",40164,,,".Warren County, Virginia",,,
Washington,"54,876","54,961",53740,,,".Washington County, Virginia",,,
Westmoreland,"17,454","17,460",18015,,,".Westmoreland County, Virginia",,,
Wise,"41,452","41,437",37383,,,".Wise County, Virginia",,,
Wythe,"29,235","29,246",28684,,,".Wythe County, Virginia",,,
York,"65,464","65,191",68280,,,".York County, Virginia",,,
Alexandria city,"139,966","139,998",159428,,,".Alexandria city, Virginia",,,
Bristol city,"17,835","17,738",16762,,,".Bristol city, Virginia",,,
Buena Vista city,"6,650","6,607",6478,,,".Buena Vista city, Virginia",,,
Charlottesville city,"43,475","43,425",47266,,,".Charlottesville city, Virginia",,,
Chesapeake city,"222,209","222,311",244835,,,".Chesapeake city, Virginia",,,
Colonial Heights city,"17,411","17,410",17370,,,".Colonial Heights city, Virginia",,,
Covington city,"5,961","5,951",5538,,,".Covington city, Virginia",,,
Danville city,"43,055","43,071",40044,,,".Danville city, Virginia",,,
Emporia city,"5,927","5,925",5346,,,".Emporia city, Virginia",,,
Fairfax city,"22,565","22,554",24019,,,".Fairfax city, Virginia",,,
Falls Church city,"12,332","12,244",14617,,,".Falls Church city, Virginia",,,
Franklin city,"8,582","8,578",7967,,,".Franklin city, Virginia",,,
Fredericksburg city,"24,286","24,178",29036,,,".Fredericksburg city, Virginia",,,
Galax city,"7,042","6,989",6347,,,".Galax city, Virginia",,,
Hampton city,"137,436","137,464",134510,,,".Hampton city, Virginia",,,
Harrisonburg city,"48,914","48,900",53016,,,".Harrisonburg city, Virginia",,,
Hopewell city,"22,591","22,591",22529,,,".Hopewell city, Virginia",,,
Lexington city,"7,042","7,037",7446,,,".Lexington city, Virginia",,,
Lynchburg city,"75,568","75,534",82168,,,".Lynchburg city, Virginia",,,
Manassas city,"37,821","37,799",41085,,,".Manassas city, Virginia",,,
Manassas Park city,"14,273","14,243",17478,,,".Manassas Park city, Virginia",,,
Martinsville city,"13,821","13,814",12554,,,".Martinsville city, Virginia",,,
Newport News city,"180,719","180,955",179225,,,".Newport News city, Virginia",,,
Norfolk city,"242,803","242,827",242742,,,".Norfolk city, Virginia",,,
Norton city,"3,958","3,993",3981,,,".Norton city, Virginia",,,
Petersburg city,"32,420","32,441",31346,,,".Petersburg city, Virginia",,,
Poquoson city,"12,150","12,159",12271,,,".Poquoson city, Virginia",,,
Portsmouth city,"95,535","95,526",94398,,,".Portsmouth city, Virginia",,,
Radford city,"16,408","16,395",18249,,,".Radford city, Virginia",,,
Richmond city,"204,214","204,375",230436,,,".Richmond city, Virginia",,,
Roanoke city,"97,032","96,910",99143,,,".Roanoke city, Virginia",,,
Salem city,"24,802","24,836",25301,,,".Salem city, Virginia",,,
Staunton city,"23,746","23,745",24932,,,".Staunton city, Virginia",,,
Suffolk city,"84,585","84,565",92108,,,".Suffolk city, Virginia",,,
Virginia Beach city,"437,994","437,903",449974,,,".Virginia Beach city, Virginia",,,
Waynesboro city,"21,006","20,998",22630,,,".Waynesboro city, Virginia",,,
Williamsburg city,"14,068","13,700",14954,,,".Williamsburg city, Virginia",,,
Winchester city,"26,203","26,223",28078,,,".Winchester city, Virginia",,,
Adams,"18,728","18,731",19983,,,".Adams County, Washington",,,
Asotin,"21,623","21,623",22582,,,".Asotin County, Washington",,,
Benton,"175,177","175,168",204390,,,".Benton County, Washington",,,
Chelan,"72,453","72,460",77200,,,".Chelan County, Washington",,,
Clallam,"71,404","71,396",77331,,,".Clallam County, Washington",,,
Clark,"425,363","425,360",488241,,,".Clark County, Washington",,,
Columbia,"4,078","4,078",3985,,,".Columbia County, Washington",,,
Cowlitz,"102,410","102,408",110593,,,".Cowlitz County, Washington",,,
Douglas,"38,431","38,427",43429,,,".Douglas County, Washington",,,
Ferry,"7,551","7,554",7627,,,".Ferry County, Washington",,,
Franklin,"78,163","78,160",95222,,,".Franklin County, Washington",,,
Garfield,"2,266","2,266",2225,,,".Garfield County, Washington",,,
Grant,"89,120","89,124",97733,,,".Grant County, Washington",,,
Grays Harbor,"72,797","72,800",75061,,,".Grays Harbor County, Washington",,,
Island,"78,506","78,508",85141,,,".Island County, Washington",,,
Jefferson,"29,872","29,880",32221,,,".Jefferson County, Washington",,,
King,"1,931,249","1,931,287",2252782,,,".King County, Washington",,,
Kitsap,"251,133","251,143",271473,,,".Kitsap County, Washington",,,
Kittitas,"40,915","40,910",47935,,,".Kittitas County, Washington",,,
Klickitat,"20,318","20,317",22425,,,".Klickitat County, Washington",,,
Lewis,"75,455","75,457",80707,,,".Lewis County, Washington",,,
Lincoln,"10,570","10,570",10939,,,".Lincoln County, Washington",,,
Mason,"60,699","60,689",66768,,,".Mason County, Washington",,,
Okanogan,"41,120","41,117",42243,,,".Okanogan County, Washington",,,
Pacific,"20,920","20,919",22471,,,".Pacific County, Washington",,,
Pend Oreille,"13,001","13,001",13724,,,".Pend Oreille County, Washington",,,
Pierce,"795,225","795,222",904980,,,".Pierce County, Washington",,,
San Juan,"15,769","15,768",17582,,,".San Juan County, Washington",,,
Skagit,"116,901","116,892",129205,,,".Skagit County, Washington",,,
Skamania,"11,066","11,070",12083,,,".Skamania County, Washington",,,
Snohomish,"713,335","713,299",822083,,,".Snohomish County, Washington",,,
Spokane,"471,221","471,220",522798,,,".Spokane County, Washington",,,
Stevens,"43,531","43,532",45723,,,".Stevens County, Washington",,,
Thurston,"252,264","252,260",290536,,,".Thurston County, Washington",,,
Wahkiakum,"3,978","3,979",4488,,,".Wahkiakum County, Washington",,,
Walla Walla,"58,781","58,781",60760,,,".Walla Walla County, Washington",,,
Whatcom,"201,140","201,146",229247,,,".Whatcom County, Washington",,,
Whitman,"44,776","44,778",50104,,,".Whitman County, Washington",,,
Yakima,"243,231","243,240",250873,,,".Yakima County, Washington",,,
Barbour,"16,589","16,587",16441,,,".Barbour County, West Virginia",,,
Berkeley,"104,169","104,188",119171,,,".Berkeley County, West Virginia",,,
Boone,"24,629","24,625",21457,,,".Boone County, West Virginia",,,
Braxton,"14,523","14,519",13957,,,".Braxton County, West Virginia",,,
Brooke,"24,069","24,051",21939,,,".Brooke County, West Virginia",,,
Cabell,"96,319","96,295",91945,,,".Cabell County, West Virginia",,,
Calhoun,"7,627","7,627",7109,,,".Calhoun County, West Virginia",,,
Clay,"9,386","9,384",8508,,,".Clay County, West Virginia",,,
Doddridge,"8,202","8,201",8448,,,".Doddridge County, West Virginia",,,
Fayette,"46,039","46,049",42406,,,".Fayette County, West Virginia",,,
Gilmer,"8,693","8,695",7823,,,".Gilmer County, West Virginia",,,
Grant,"11,937","11,920",11568,,,".Grant County, West Virginia",,,
Greenbrier,"35,480","35,483",34662,,,".Greenbrier County, West Virginia",,,
Hampshire,"23,964","23,960",23175,,,".Hampshire County, West Virginia",,,
Hancock,"30,676","30,688",28810,,,".Hancock County, West Virginia",,,
Hardy,"14,025","14,027",13776,,,".Hardy County, West Virginia",,,
Harrison,"69,099","69,094",67256,,,".Harrison County, West Virginia",,,
Jackson,"29,211","29,214",28576,,,".Jackson County, West Virginia",,,
Jefferson,"53,498","53,490",57146,,,".Jefferson County, West Virginia",,,
Kanawha,"193,063","193,053",178124,,,".Kanawha County, West Virginia",,,
